Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type,lat,lon
433,2010-09-20 20:50:18,2010-09-20 20:57:31,31203,14th & Rhode Island Ave NW,31600,5th & K St NW,W00289,Member,38.9085997,-77.0323
1239,2010-09-20 20:52:40,2010-09-20 21:13:20,31103,16th & Harvard St NW,31107,Lamont & Mt Pleasant NW,W00948,Member,38.9261399,-77.0366677
260,2010-09-20 20:53:04,2010-09-20 20:57:24,31101,14th & V St NW,31203,14th & Rhode Island Ave NW,W01067,Member,38.9175997,-77.0321
786,2010-09-20 20:54:53,2010-09-20 21:08:00,31010,S Glebe & Potomac Ave,31004,Aurora Hills Community Ctr/18th & Hayes St,W00961,Member,38.8425997,-77.0502
791,2010-09-20 20:54:54,2010-09-20 21:08:06,31010,S Glebe & Potomac Ave,31004,Aurora Hills Community Ctr/18th & Hayes St,W01018,Member,38.8425997,-77.0502
863,2010-09-20 21:03:27,2010-09-20 21:17:51,31011,23rd & Crystal Dr,31006,S Joyce & Army Navy Dr,W00760,Casual,38.8532997,-77.0498
271,2010-09-20 21:04:40,2010-09-20 21:09:11,31007,Crystal City Metro / 18th & Bell St,31009,27th & Crystal Dr,W00509,Casual,38.8572997,-77.0511
359,2010-09-20 21:12:31,2010-09-20 21:18:30,31103,16th & Harvard St NW,31103,16th & Harvard St NW,W00795,Member,38.9261399,-77.0366677
475,2010-09-20 21:14:43,2010-09-20 21:22:38,31205,21st & I St NW,31200,Massachusetts Ave & Dupont Circle NW,W00842,Member,38.9007997,-77.047
3722,2010-09-20 21:15:59,2010-09-20 22:18:02,31209,1st & N St  SE,31007,Crystal City Metro / 18th & Bell St,W01083,Member,38.8742997,-77.0057
384,2010-09-20 21:16:35,2010-09-20 21:22:59,31200,Massachusetts Ave & Dupont Circle NW,31203,14th & Rhode Island Ave NW,W00380,Member,38.9100997,-77.0444
1122,2010-09-20 21:24:41,2010-09-20 21:43:23,31401,14th St & Spring Rd NW,31202,14th & R St NW,W00318,Member,38.9374997,-77.0328
1620,2010-09-20 21:28:10,2010-09-20 21:55:11,31209,1st & N St  SE,31203,14th & Rhode Island Ave NW,W00032,Member,38.8742997,-77.0057
1593,2010-09-20 21:28:19,2010-09-20 21:54:53,31209,1st & N St  SE,31203,14th & Rhode Island Ave NW,W01030,Member,38.8742997,-77.0057
1088,2010-09-20 21:28:23,2010-09-20 21:46:32,31200,Massachusetts Ave & Dupont Circle NW,31207,Georgia Ave and Fairmont St NW,W00747,Member,38.9100997,-77.0444
507,2010-09-20 21:32:51,2010-09-20 21:41:19,31010,S Glebe & Potomac Ave,31011,23rd & Crystal Dr,W01034,Member,38.8425997,-77.0502
629,2010-09-20 21:38:23,2010-09-20 21:48:52,31104,Adams Mill & Columbia Rd NW,31207,Georgia Ave and Fairmont St NW,W00745,Member,38.9230444,-77.0425553
378,2010-09-20 21:39:34,2010-09-20 21:45:53,31104,Adams Mill & Columbia Rd NW,31105,14th & Harvard St NW,W00796,Casual,38.9230444,-77.0425553
544,2010-09-20 21:45:02,2010-09-20 21:54:07,31101,14th & V St NW,31207,Georgia Ave and Fairmont St NW,W00772,Member,38.9175997,-77.0321
1463,2010-09-20 21:50:11,2010-09-20 22:14:34,31203,14th & Rhode Island Ave NW,31401,14th St & Spring Rd NW,W00380,Member,38.9085997,-77.0323
349,2010-09-20 21:58:24,2010-09-20 22:04:14,31400,Georgia & New Hampshire Ave NW,31401,14th St & Spring Rd NW,W00903,Member,38.9360427,-77.024649
5854,2010-09-20 22:06:24,2010-09-20 23:43:58,31200,Massachusetts Ave & Dupont Circle NW,31205,21st & I St NW,W00842,Casual,38.9100997,-77.0444
5839,2010-09-20 22:06:27,2010-09-20 23:43:46,31200,Massachusetts Ave & Dupont Circle NW,31205,21st & I St NW,W01008,Casual,38.9100997,-77.0444
696,2010-09-20 22:12:18,2010-09-20 22:23:55,31401,14th St & Spring Rd NW,31101,14th & V St NW,W00903,Member,38.9374997,-77.0328
1593,2010-09-20 22:20:01,2010-09-20 22:46:34,31600,5th & K St NW,31201,15th & P St NW,W00289,Member,38.9025842,-77.0556545
1638,2010-09-20 22:42:41,2010-09-20 23:09:59,31206,19th & E Street NW,31109,7th & T St NW,W00555,Member,42.6795631304348,-75.4927429130435
224,2010-09-20 23:06:20,2010-09-20 23:10:05,31200,Massachusetts Ave & Dupont Circle NW,31200,Massachusetts Ave & Dupont Circle NW,W00830,Member,38.9100997,-77.0444
528,2010-09-20 23:17:00,2010-09-20 23:25:48,31004,Aurora Hills Community Ctr/18th & Hayes St,31006,S Joyce & Army Navy Dr,W00961,Member,38.8578738,-77.0594923
267,2010-09-20 23:44:01,2010-09-20 23:48:29,31602,Park Rd & Holmead Pl NW,31101,14th & V St NW,W00775,Member,38.9308232,-77.0315137
764,2010-09-20 23:51:40,2010-09-21 00:04:24,31002,20th & Crystal Dr,31005,Pentagon City Metro / 12th & S Hayes St,W01000,Member,38.8563997,-77.0492
783,2010-09-21 00:07:26,2010-09-21 00:20:29,31001,18th & Eads St.,31004,Aurora Hills Community Ctr/18th & Hayes St,W00825,Member,38.8572578,-77.0533223
792,2010-09-21 00:18:54,2010-09-21 00:32:07,31101,14th & V St NW,31400,Georgia & New Hampshire Ave NW,W00968,Member,38.9175997,-77.0321
485,2010-09-21 06:45:15,2010-09-21 06:53:21,31207,Georgia Ave and Fairmont St NW,31101,14th & V St NW,W00772,Member,38.9248997,-77.0222
1191,2010-09-21 06:49:35,2010-09-21 07:09:26,31003,15th & Crystal Dr,31003,15th & Crystal Dr,W00807,Casual,38.8601822,-77.0496649
489,2010-09-21 06:51:46,2010-09-21 06:59:55,31400,Georgia & New Hampshire Ave NW,31101,14th & V St NW,W00838,Member,38.9360427,-77.024649
503,2010-09-21 07:09:13,2010-09-21 07:17:37,31200,Massachusetts Ave & Dupont Circle NW,31204,20th & E St NW,W00830,Member,38.9100997,-77.0444
6030,2010-09-21 07:21:58,2010-09-21 09:02:29,31101,14th & V St NW,31201,15th & P St NW,W00903,Member,38.9175997,-77.0321
1366,2010-09-21 07:23:57,2010-09-21 07:46:43,31109,7th & T St NW,31206,19th & E Street NW,W00555,Member,38.9154997,-77.0222
996,2010-09-21 07:24:54,2010-09-21 07:41:31,31107,Lamont & Mt Pleasant NW,31100,19th St & Pennsylvania Ave NW,W00948,Casual,38.9319014,-77.0387453
585,2010-09-21 07:41:33,2010-09-21 07:51:19,31200,Massachusetts Ave & Dupont Circle NW,31205,21st & I St NW,W00344,Member,38.9100997,-77.0444
473,2010-09-21 07:48:01,2010-09-21 07:55:54,31203,14th & Rhode Island Ave NW,31100,19th St & Pennsylvania Ave NW,W01050,Member,38.9085997,-77.0323
620,2010-09-21 08:02:39,2010-09-21 08:13:00,31603,1st & M St NE,31203,14th & Rhode Island Ave NW,W00873,Member,38.9056997,-77.0056
418,2010-09-21 08:03:00,2010-09-21 08:09:59,31207,Georgia Ave and Fairmont St NW,31101,14th & V St NW,W00745,Member,38.9248997,-77.0222
480,2010-09-21 08:04:19,2010-09-21 08:12:20,31401,14th St & Spring Rd NW,31101,14th & V St NW,W00734,Member,38.9374997,-77.0328
656,2010-09-21 08:06:51,2010-09-21 08:17:48,31103,16th & Harvard St NW,31200,Massachusetts Ave & Dupont Circle NW,W00795,Member,38.9261399,-77.0366677
896,2010-09-21 08:07:57,2010-09-21 08:22:53,31104,Adams Mill & Columbia Rd NW,31204,20th & E St NW,W01069,Casual,38.9230444,-77.0425553
369,2010-09-21 08:13:04,2010-09-21 08:19:13,31208,M St & New Jersey Ave SE,31108,4th & M St SW,W00826,Member,38.8762997,-77.0037
254,2010-09-21 08:17:40,2010-09-21 08:21:55,31101,14th & V St NW,31203,14th & Rhode Island Ave NW,W00772,Member,38.9175997,-77.0321
3022,2010-09-21 08:18:55,2010-09-21 09:09:18,31600,5th & K St NW,31205,21st & I St NW,W00557,Member,38.9025842,-77.0556545
554,2010-09-21 08:19:42,2010-09-21 08:28:56,31007,Crystal City Metro / 18th & Bell St,31009,27th & Crystal Dr,W00819,Member,38.8572997,-77.0511
513,2010-09-21 08:21:49,2010-09-21 08:30:22,31103,16th & Harvard St NW,31200,Massachusetts Ave & Dupont Circle NW,W00976,Member,38.9261399,-77.0366677
1758,2010-09-21 08:26:36,2010-09-21 08:55:55,31110,20th St & Florida Ave NW,31100,19th St & Pennsylvania Ave NW,W00198,Casual,38.9153997,-77.0446
591,2010-09-21 08:28:05,2010-09-21 08:37:56,31203,14th & Rhode Island Ave NW,31600,5th & K St NW,W01030,Member,38.9085997,-77.0323
327,2010-09-21 08:34:41,2010-09-21 08:40:08,31101,14th & V St NW,31203,14th & Rhode Island Ave NW,W00918,Member,38.9175997,-77.0321
133,2010-09-21 08:37:01,2010-09-21 08:39:15,31103,16th & Harvard St NW,31103,16th & Harvard St NW,W00039,Member,38.9261399,-77.0366677
191,2010-09-21 08:37:37,2010-09-21 08:40:48,31201,15th & P St NW,31202,14th & R St NW,W01070,Member,38.9098497,-77.034438
309,2010-09-21 08:37:38,2010-09-21 08:42:48,31107,Lamont & Mt Pleasant NW,31104,Adams Mill & Columbia Rd NW,W00971,Member,38.9319014,-77.0387453
712,2010-09-21 08:39:09,2010-09-21 08:51:02,31201,15th & P St NW,31205,21st & I St NW,W01063,Member,38.9098497,-77.034438
2140,2010-09-21 08:39:39,2010-09-21 09:15:19,31110,20th St & Florida Ave NW,31204,20th & E St NW,W00428,Casual,38.9153997,-77.0446
914,2010-09-21 08:40:16,2010-09-21 08:55:30,31105,14th & Harvard St NW,31205,21st & I St NW,W01059,Member,38.9267997,-77.0322
554,2010-09-21 08:41:18,2010-09-21 08:50:32,31111,10th & U St NW,31200,Massachusetts Ave & Dupont Circle NW,W00614,Member,38.9171997,-77.0259
874,2010-09-21 08:42:15,2010-09-21 08:56:49,31111,10th & U St NW,31200,Massachusetts Ave & Dupont Circle NW,W00777,Member,38.9171997,-77.0259
2274,2010-09-21 08:45:15,2010-09-21 09:23:10,31103,16th & Harvard St NW,31206,19th & E Street NW,W00039,Member,38.9261399,-77.0366677
392,2010-09-21 08:45:15,2010-09-21 08:51:47,31200,Massachusetts Ave & Dupont Circle NW,31100,19th St & Pennsylvania Ave NW,W00976,Member,38.9100997,-77.0444
969,2010-09-21 08:48:36,2010-09-21 09:04:45,31105,14th & Harvard St NW,31600,5th & K St NW,W01113,Member,38.9267997,-77.0322
480,2010-09-21 08:55:15,2010-09-21 09:03:16,31201,15th & P St NW,31200,Massachusetts Ave & Dupont Circle NW,W00289,Member,38.9098497,-77.034438
267,2010-09-21 09:01:01,2010-09-21 09:05:28,31203,14th & Rhode Island Ave NW,31200,Massachusetts Ave & Dupont Circle NW,W00322,Member,38.9085997,-77.0323
465,2010-09-21 09:03:55,2010-09-21 09:11:40,31110,20th St & Florida Ave NW,31203,14th & Rhode Island Ave NW,W00519,Member,38.9153997,-77.0446
451,2010-09-21 09:04:51,2010-09-21 09:12:22,31602,Park Rd & Holmead Pl NW,31105,14th & Harvard St NW,W00858,Member,38.9308232,-77.0315137
298,2010-09-21 09:07:43,2010-09-21 09:12:42,31201,15th & P St NW,31101,14th & V St NW,W00903,Member,38.9098497,-77.034438
1595,2010-09-21 09:12:00,2010-09-21 09:38:36,31105,14th & Harvard St NW,31203,14th & Rhode Island Ave NW,W00804,Member,38.9267997,-77.0322
1208,2010-09-21 09:18:17,2010-09-21 09:38:26,31105,14th & Harvard St NW,31203,14th & Rhode Island Ave NW,W00340,Member,38.9267997,-77.0322
1035,2010-09-21 09:18:18,2010-09-21 09:35:34,31205,21st & I St NW,31104,Adams Mill & Columbia Rd NW,W00344,Member,38.9007997,-77.047
1714,2010-09-21 09:19:24,2010-09-21 09:47:59,31103,16th & Harvard St NW,31100,19th St & Pennsylvania Ave NW,W00780,Casual,38.9261399,-77.0366677
759,2010-09-21 09:19:37,2010-09-21 09:32:16,31111,10th & U St NW,31200,Massachusetts Ave & Dupont Circle NW,W00993,Member,38.9171997,-77.0259
149,2010-09-21 09:20:32,2010-09-21 09:23:01,31104,Adams Mill & Columbia Rd NW,31106,Calvert & Biltmore St NW,W00971,Member,38.9230444,-77.0425553
2448,2010-09-21 09:21:35,2010-09-21 10:02:24,31111,10th & U St NW,31108,4th & M St SW,W00958,Casual,38.9171997,-77.0259
751,2010-09-21 09:21:55,2010-09-21 09:34:26,31400,Georgia & New Hampshire Ave NW,31201,15th & P St NW,W00968,Member,38.9360427,-77.024649
736,2010-09-21 09:26:44,2010-09-21 09:39:01,31200,Massachusetts Ave & Dupont Circle NW,31100,19th St & Pennsylvania Ave NW,W00523,Member,38.9100997,-77.0444
312,2010-09-21 09:28:14,2010-09-21 09:33:27,31201,15th & P St NW,31200,Massachusetts Ave & Dupont Circle NW,W01101,Member,38.9098497,-77.034438
81,2010-09-21 09:37:21,2010-09-21 09:38:43,31008,12th & Army Navy Dr,31008,12th & Army Navy Dr,W00637,Member,38.8628997,-77.0528
1352,2010-09-21 09:42:57,2010-09-21 10:05:30,31107,Lamont & Mt Pleasant NW,31600,5th & K St NW,W00928,Member,38.9319014,-77.0387453
1200,2010-09-21 09:43:53,2010-09-21 10:03:54,31200,Massachusetts Ave & Dupont Circle NW,31203,14th & Rhode Island Ave NW,W00743,Member,38.9100997,-77.0444
3821,2010-09-21 09:47:04,2010-09-21 10:50:46,31101,14th & V St NW,31600,5th & K St NW,W01084,Member,38.9175997,-77.0321
303,2010-09-21 09:54:43,2010-09-21 09:59:46,31201,15th & P St NW,31200,Massachusetts Ave & Dupont Circle NW,W00968,Member,38.9098497,-77.034438
896,2010-09-21 09:56:06,2010-09-21 10:11:02,31600,5th & K St NW,31100,19th St & Pennsylvania Ave NW,W01058,Member,38.9025842,-77.0556545
725,2010-09-21 09:56:46,2010-09-21 10:08:51,31100,19th St & Pennsylvania Ave NW,31203,14th & Rhode Island Ave NW,W00948,Casual,38.9002997,-77.0429
1054,2010-09-21 09:58:36,2010-09-21 10:16:11,31105,14th & Harvard St NW,31200,Massachusetts Ave & Dupont Circle NW,W00814,Casual,38.9267997,-77.0322
491,2010-09-21 10:24:03,2010-09-21 10:32:14,31203,14th & Rhode Island Ave NW,31600,5th & K St NW,W00873,Member,38.9085997,-77.0323
1268,2010-09-21 10:27:49,2010-09-21 10:48:58,31107,Lamont & Mt Pleasant NW,31205,21st & I St NW,W00883,Casual,38.9319014,-77.0387453
2713,2010-09-21 10:28:03,2010-09-21 11:13:16,31007,Crystal City Metro / 18th & Bell St,31209,1st & N St  SE,W00868,Member,38.8572997,-77.0511
1750,2010-09-21 10:30:51,2010-09-21 11:00:01,31207,Georgia Ave and Fairmont St NW,31205,21st & I St NW,W00476,Member,38.9248997,-77.0222
903,2010-09-21 10:31:31,2010-09-21 10:46:35,31109,7th & T St NW,31600,5th & K St NW,W01029,Member,38.9154997,-77.0222
792,2010-09-21 10:32:57,2010-09-21 10:46:10,31400,Georgia & New Hampshire Ave NW,31104,Adams Mill & Columbia Rd NW,W00773,Member,38.9360427,-77.024649
3452,2010-09-21 10:43:09,2010-09-21 11:40:41,31104,Adams Mill & Columbia Rd NW,31200,Massachusetts Ave & Dupont Circle NW,W00526,Casual,38.9230444,-77.0425553
805,2010-09-21 10:47:25,2010-09-21 11:00:50,31105,14th & Harvard St NW,31200,Massachusetts Ave & Dupont Circle NW,W00796,Member,38.9267997,-77.0322
148,2010-09-21 10:53:40,2010-09-21 10:56:08,31202,14th & R St NW,31201,15th & P St NW,W00648,Member,38.9126963,-77.03167
278,2010-09-21 10:54:45,2010-09-21 10:59:24,31104,Adams Mill & Columbia Rd NW,31104,Adams Mill & Columbia Rd NW,W00960,Member,38.9230444,-77.0425553
1193,2010-09-21 10:56:24,2010-09-21 11:16:18,31104,Adams Mill & Columbia Rd NW,31603,1st & M St NE,W00773,Member,38.9230444,-77.0425553
3238,2010-09-21 10:58:58,2010-09-21 11:52:56,31110,20th St & Florida Ave NW,31100,19th St & Pennsylvania Ave NW,W00566,Casual,38.9153997,-77.0446
3049,2010-09-21 11:02:03,2010-09-21 11:52:53,31110,20th St & Florida Ave NW,31100,19th St & Pennsylvania Ave NW,W00639,Casual,38.9153997,-77.0446
5478,2010-09-21 11:09:09,2010-09-21 12:40:27,31110,20th St & Florida Ave NW,31600,5th & K St NW,W00281,Casual,38.9153997,-77.0446
5458,2010-09-21 11:09:21,2010-09-21 12:40:20,31110,20th St & Florida Ave NW,31600,5th & K St NW,W00471,Casual,38.9153997,-77.0446
403,2010-09-21 11:09:37,2010-09-21 11:16:21,31203,14th & Rhode Island Ave NW,31200,Massachusetts Ave & Dupont Circle NW,W00032,Member,38.9085997,-77.0323
350,2010-09-21 11:25:22,2010-09-21 11:31:13,31011,23rd & Crystal Dr,31010,S Glebe & Potomac Ave,?(0x000000007C120F6A),Member,38.8532997,-77.0498
695,2010-09-21 11:27:03,2010-09-21 11:38:38,31007,Crystal City Metro / 18th & Bell St,31010,S Glebe & Potomac Ave,W00996,Member,38.8572997,-77.0511
1251,2010-09-21 11:41:46,2010-09-21 12:02:37,31603,1st & M St NE,31200,Massachusetts Ave & Dupont Circle NW,W00773,Member,38.9056997,-77.0056
599,2010-09-21 11:43:24,2010-09-21 11:53:24,31200,Massachusetts Ave & Dupont Circle NW,31201,15th & P St NW,W01101,Casual,38.9100997,-77.0444
579,2010-09-21 11:43:38,2010-09-21 11:53:17,31200,Massachusetts Ave & Dupont Circle NW,31201,15th & P St NW,W00614,Member,38.9100997,-77.0444
551,2010-09-21 11:46:56,2010-09-21 11:56:07,31010,S Glebe & Potomac Ave,31002,20th & Crystal Dr,?(0x000000007C120F6A),Member,38.8425997,-77.0502
288,2010-09-21 11:47:40,2010-09-21 11:52:28,31010,S Glebe & Potomac Ave,31012,26th & S Clark St,W00707,Member,38.8425997,-77.0502
780,2010-09-21 11:53:02,2010-09-21 12:06:02,31200,Massachusetts Ave & Dupont Circle NW,31204,20th & E St NW,W00814,Member,38.9100997,-77.0444
981,2010-09-21 11:53:50,2010-09-21 12:10:11,31600,5th & K St NW,31100,19th St & Pennsylvania Ave NW,W00873,Member,38.9025842,-77.0556545
1754,2010-09-21 11:56:45,2010-09-21 12:26:00,31603,1st & M St NE,31603,1st & M St NE,?(0x000000004752DD3A),Member,38.9056997,-77.0056
211,2010-09-21 11:58:35,2010-09-21 12:02:07,31106,Calvert & Biltmore St NW,31104,Adams Mill & Columbia Rd NW,W00971,Member,38.9232108,-77.0476393
1436,2010-09-21 11:59:23,2010-09-21 12:23:20,31110,20th St & Florida Ave NW,31205,21st & I St NW,W00492,Casual,38.9153997,-77.0446
6354,2010-09-21 12:03:35,2010-09-21 13:49:29,31110,20th St & Florida Ave NW,31600,5th & K St NW,W00491,Casual,38.9153997,-77.0446
1322,2010-09-21 12:09:15,2010-09-21 12:31:18,31208,M St & New Jersey Ave SE,31208,M St & New Jersey Ave SE,W00886,Member,38.8762997,-77.0037
750,2010-09-21 12:16:52,2010-09-21 12:29:22,31205,21st & I St NW,31200,Massachusetts Ave & Dupont Circle NW,W00910,Member,38.9007997,-77.047
2343,2010-09-21 12:20:54,2010-09-21 12:59:57,31206,19th & E Street NW,31206,19th & E Street NW,W00039,Casual,42.6795631304348,-75.4927429130435
1016,2010-09-21 12:22:00,2010-09-21 12:38:56,31204,20th & E St NW,31600,5th & K St NW,W00830,Casual,38.8963209,-77.045018
1084,2010-09-21 12:22:30,2010-09-21 12:40:34,31007,Crystal City Metro / 18th & Bell St,31002,20th & Crystal Dr,W00642,Member,38.8572997,-77.0511
219,2010-09-21 12:25:13,2010-09-21 12:28:52,31009,27th & Crystal Dr,31002,20th & Crystal Dr,W00999,Casual,38.8484407,-77.051516
794,2010-09-21 12:27:18,2010-09-21 12:40:32,31201,15th & P St NW,31600,5th & K St NW,W00614,Member,38.9098497,-77.034438
793,2010-09-21 12:27:21,2010-09-21 12:40:35,31201,15th & P St NW,31600,5th & K St NW,W01101,Casual,38.9098497,-77.034438
94,2010-09-21 12:30:09,2010-09-21 12:31:44,31003,15th & Crystal Dr,31003,15th & Crystal Dr,W01124,Member,38.8601822,-77.0496649
1730,2010-09-21 12:32:16,2010-09-21 13:01:06,31003,15th & Crystal Dr,31010,S Glebe & Potomac Ave,W01124,Member,38.8601822,-77.0496649
1301,2010-09-21 12:33:51,2010-09-21 12:55:32,31009,27th & Crystal Dr,31009,27th & Crystal Dr,W00735,Casual,38.8484407,-77.051516
513,2010-09-21 12:34:03,2010-09-21 12:42:36,31200,Massachusetts Ave & Dupont Circle NW,31203,14th & Rhode Island Ave NW,W00910,Member,38.9100997,-77.0444
234,2010-09-21 12:40:43,2010-09-21 12:44:37,31101,14th & V St NW,31101,14th & V St NW,W00745,Member,38.9175997,-77.0321
2082,2010-09-21 12:41:32,2010-09-21 13:16:14,31200,Massachusetts Ave & Dupont Circle NW,31106,Calvert & Biltmore St NW,W00773,Member,38.9100997,-77.0444
571,2010-09-21 12:48:22,2010-09-21 12:57:53,31200,Massachusetts Ave & Dupont Circle NW,31203,14th & Rhode Island Ave NW,W00968,Member,38.9100997,-77.0444
1673,2010-09-21 12:48:29,2010-09-21 13:16:23,31108,4th & M St SW,31002,20th & Crystal Dr,W00958,Member,38.8766997,-77.0178
641,2010-09-21 12:55:20,2010-09-21 13:06:02,31107,Lamont & Mt Pleasant NW,31203,14th & Rhode Island Ave NW,W00119,Member,38.9319014,-77.0387453
460,2010-09-21 12:57:40,2010-09-21 13:05:21,31110,20th St & Florida Ave NW,31201,15th & P St NW,W00855,Member,38.9153997,-77.0446
2191,2010-09-21 12:59:17,2010-09-21 13:35:48,31205,21st & I St NW,31200,Massachusetts Ave & Dupont Circle NW,W01059,Member,38.9007997,-77.047
920,2010-09-21 13:00:10,2010-09-21 13:15:31,31201,15th & P St NW,31600,5th & K St NW,W00648,Member,38.9098497,-77.034438
386,2010-09-21 13:04:19,2010-09-21 13:10:45,31200,Massachusetts Ave & Dupont Circle NW,31205,21st & I St NW,W00795,Casual,38.9100997,-77.0444
832,2010-09-21 13:05:23,2010-09-21 13:19:16,31101,14th & V St NW,31106,Calvert & Biltmore St NW,W00918,Member,38.9175997,-77.0321
815,2010-09-21 13:05:31,2010-09-21 13:19:06,31101,14th & V St NW,31106,Calvert & Biltmore St NW,W00745,Member,38.9175997,-77.0321
719,2010-09-21 13:06:17,2010-09-21 13:18:16,31010,S Glebe & Potomac Ave,31008,12th & Army Navy Dr,W01124,Member,38.8425997,-77.0502
1778,2010-09-21 13:07:17,2010-09-21 13:36:55,31400,Georgia & New Hampshire Ave NW,31101,14th & V St NW,W00363,Casual,38.9360427,-77.024649
5136,2010-09-21 13:07:45,2010-09-21 14:33:21,31007,Crystal City Metro / 18th & Bell St,31001,18th & Eads St.,W01083,Casual,38.8572997,-77.0511
376,2010-09-21 13:12:49,2010-09-21 13:19:05,31002,20th & Crystal Dr,31009,27th & Crystal Dr,W00999,Casual,38.8563997,-77.0492
1541,2010-09-21 13:21:12,2010-09-21 13:46:53,31002,20th & Crystal Dr,31108,4th & M St SW,W00570,Member,38.8563997,-77.0492
573,2010-09-21 13:28:54,2010-09-21 13:38:27,31203,14th & Rhode Island Ave NW,31205,21st & I St NW,W00772,Member,38.9085997,-77.0323
540,2010-09-21 13:29:41,2010-09-21 13:38:41,31209,1st & N St  SE,31108,4th & M St SW,W00872,Member,38.8742997,-77.0057
2759,2010-09-21 13:31:48,2010-09-21 14:17:47,31202,14th & R St NW,31600,5th & K St NW,W00930,Casual,38.9126963,-77.03167
2761,2010-09-21 13:31:53,2010-09-21 14:17:55,31202,14th & R St NW,31600,5th & K St NW,W00518,Casual,38.9126963,-77.03167
747,2010-09-21 13:37:38,2010-09-21 13:50:06,31201,15th & P St NW,31205,21st & I St NW,W00855,Casual,38.9098497,-77.034438
593,2010-09-21 13:39:23,2010-09-21 13:49:16,31203,14th & Rhode Island Ave NW,31603,1st & M St NE,W00910,Member,38.9085997,-77.0323
1477,2010-09-21 13:44:13,2010-09-21 14:08:50,31200,Massachusetts Ave & Dupont Circle NW,31603,1st & M St NE,W00526,Member,38.9100997,-77.0444
596,2010-09-21 13:44:30,2010-09-21 13:54:26,31108,4th & M St SW,31209,1st & N St  SE,W00332,Member,38.8766997,-77.0178
1254,2010-09-21 13:46:09,2010-09-21 14:07:03,31200,Massachusetts Ave & Dupont Circle NW,31600,5th & K St NW,W01059,Member,38.9100997,-77.0444
523,2010-09-21 13:55:09,2010-09-21 14:03:52,31000,Eads St & 15th St S,31011,23rd & Crystal Dr,W00100,Member,38.8589788,-77.0532323
616,2010-09-21 13:56:04,2010-09-21 14:06:20,31203,14th & Rhode Island Ave NW,31110,20th St & Florida Ave NW,W00119,Member,38.9085997,-77.0323
617,2010-09-21 14:00:13,2010-09-21 14:10:31,31106,Calvert & Biltmore St NW,31101,14th & V St NW,W00918,Member,38.9232108,-77.0476393
612,2010-09-21 14:00:21,2010-09-21 14:10:34,31106,Calvert & Biltmore St NW,31101,14th & V St NW,W00745,Member,38.9232108,-77.0476393
5786,2010-09-21 14:05:41,2010-09-21 15:42:07,31600,5th & K St NW,31110,20th St & Florida Ave NW,W00491,Casual,38.9025842,-77.0556545
448,2010-09-21 14:06:40,2010-09-21 14:14:09,31200,Massachusetts Ave & Dupont Circle NW,31201,15th & P St NW,W00993,Member,38.9100997,-77.0444
317,2010-09-21 14:11:29,2010-09-21 14:16:47,31110,20th St & Florida Ave NW,31200,Massachusetts Ave & Dupont Circle NW,W00119,Member,38.9153997,-77.0446
4330,2010-09-21 14:14:57,2010-09-21 15:27:08,31205,21st & I St NW,31205,21st & I St NW,W00883,Casual,38.9007997,-77.047
823,2010-09-21 14:20:25,2010-09-21 14:34:09,31203,14th & Rhode Island Ave NW,31602,Park Rd & Holmead Pl NW,W00968,Member,38.9085997,-77.0323
123,2010-09-21 14:20:42,2010-09-21 14:22:45,31003,15th & Crystal Dr,31002,20th & Crystal Dr,W00807,Member,38.8601822,-77.0496649
621,2010-09-21 14:24:39,2010-09-21 14:35:00,31104,Adams Mill & Columbia Rd NW,31106,Calvert & Biltmore St NW,W00960,Member,38.9230444,-77.0425553
1538,2010-09-21 14:24:56,2010-09-21 14:50:35,31205,21st & I St NW,31104,Adams Mill & Columbia Rd NW,W00742,Member,38.9007997,-77.047
1281,2010-09-21 14:28:08,2010-09-21 14:49:29,31107,Lamont & Mt Pleasant NW,31103,16th & Harvard St NW,W01077,Casual,38.9319014,-77.0387453
1525,2010-09-21 14:31:41,2010-09-21 14:57:06,31502,John McCormack Dr & Michigan Ave NE,31502,John McCormack Dr & Michigan Ave NE,W00803,Casual,38.9345997,-76.9955
1560,2010-09-21 14:34:34,2010-09-21 15:00:34,31401,14th St & Spring Rd NW,31205,21st & I St NW,W00860,Casual,38.9374997,-77.0328
12812,2010-09-21 14:34:46,2010-09-21 18:08:18,31002,20th & Crystal Dr,31002,20th & Crystal Dr,W00538,Casual,38.8563997,-77.0492
673,2010-09-21 14:44:01,2010-09-21 14:55:14,31003,15th & Crystal Dr,31003,15th & Crystal Dr,W00822,Member,38.8601822,-77.0496649
925,2010-09-21 14:49:47,2010-09-21 15:05:12,31600,5th & K St NW,31202,14th & R St NW,W00471,Member,38.9025842,-77.0556545
578,2010-09-21 14:51:47,2010-09-21 15:01:25,31103,16th & Harvard St NW,31107,Lamont & Mt Pleasant NW,W00755,Casual,38.9261399,-77.0366677
668,2010-09-21 15:00:51,2010-09-21 15:11:59,31208,M St & New Jersey Ave SE,31208,M St & New Jersey Ave SE,W00886,Casual,38.8762997,-77.0037
1401,2010-09-21 15:14:20,2010-09-21 15:37:42,31101,14th & V St NW,31400,Georgia & New Hampshire Ave NW,W00775,Casual,38.9175997,-77.0321
